"name","year","battle_number","attacker_king","defender_king","attacker_1","attacker_2","attacker_3","attacker_4","defender_1","defender_2","defender_3","defender_4","attacker_outcome","battle_type","major_death","major_capture","attacker_size","defender_size","attacker_commander","defender_commander","summer","location","region","note"
"Battle of the Golden Tooth","298","1","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Tully","","","","win","pitched battle","1","0","15000","4000","Jaime Lannister","Clement Piper, Vance","1","Golden Tooth","The Westerlands",""
"Battle at the Mummer's Ford","298","2","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Baratheon","","","","win","ambush","1","0","","120","Gregor Clegane","Beric Dondarrion","1","Mummer's Ford","The Riverlands",""
"Battle of Riverrun","298","3","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Tully","","","","win","pitched battle","0","1","15000","10000","Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood","1","Riverrun","The Riverlands",""
"Battle of the Green Fork","298","4","Robb Stark","Joffrey/Tommen Baratheon","Stark","","","","Lannister","","","","loss","pitched battle","1","1","18000","20000","Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand","1","Green Fork","The Riverlands",""
"Battle of the Whispering Wood","298","5","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","1","1","1875","6000","Robb Stark, Brynden Tully","Jaime Lannister","1","Whispering Wood","The Riverlands",""
"Battle of the Camps","298","6","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","0","0","6000","12625","Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester","1","Riverrun","The Riverlands",""
"Battle of Moat Cailin","299","8","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","pitched battle","0","0","","","Victarion Greyjoy","","1","Moat Cailin","The North",""
"Battle of Deepwood Motte","299","9","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","siege","0","0","1000","","Asha Greyjoy","","1","Deepwood Motte","The North",""
"Battle of the Stony Shore","299","10","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","ambush","0","0","264","","Theon Greyjoy","","1","Stony Shore","The North","Greyjoy's troop number based on the Battle of Deepwood Motte, in which Asha had 1000 soldier on 30 longships. That comes out to ~33 per longship. In the Battle of the Stony Shore, Theon has 8 longships, and just we can estimate that he has 8*33 =265 troops."
"Battle of Torrhen's Square","299","11","Robb Stark","Balon/Euron Greyjoy","Stark","","","","Greyjoy","","","","win","pitched battle","0","0","244","900","Rodrik Cassel, Cley Cerwyn","Dagmer Cleftjaw","1","Torrhen's Square","The North","Greyjoy's troop number comes from the 264 estimate to have arrived on the stony shore minus the 20 Theon takes to attack Winterfell. Thus 264-20=244"
"Battle of Winterfell","299","12","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","ambush","0","1","20","","Theon Greyjoy","Bran Stark","1","Winterfell","The North","It isn't mentioned how many Stark men are left in Winterfell, other than ""very few""."
"Sack of Torrhen's Square","299","13","Balon/Euron Greyjoy","Balon/Euron Greyjoy","Greyjoy","","","","Stark","","","","win","siege","0","1","","","Dagmer Cleftjaw","","1","Torrhen's Square","The North",""
"Sack of Winterfell","299","14","Joffrey/Tommen Baratheon","Robb Stark","Bolton","Greyjoy","","","Stark","","","","win","ambush","1","0","618","2000","Ramsay Snow, Theon Greyjoy ","Rodrik Cassel, Cley Cerwyn, Leobald Tallhart","1","Winterfell","The North","Since House Bolton betrays the Starks for House Lannister, we code this battle as between these two houses. Greyjoy men, numbering only 20, don't play a major part in the fighting and end up dying anyway."
"Battle of Oxcross","299","15","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","1","1","6000","10000","Robb Stark, Brynden Tully","Stafford Lannister, Roland Crakehall, Antario Jast","1","Oxcross","The Westerlands",""
"Siege of Storm's End","299","16","Stannis Baratheon","Renly Baratheon","Baratheon","","","","Baratheon","","","","win","siege","1","0","5000","20000","Stannis Baratheon, Davos Seaworth","Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan","1","Storm's End","The Stormlands",""
"Battle of the Fords","299","17","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Tully","","","","loss","pitched battle","0","0","20000","10000","Tywin Lannister, Flement Brax, Gregor Clegane, Addam Marbrand, Lyle Crakehall, Leo Lefford","Edmure Tully, Jason Mallister, Karyl Vance","1","Red Fork","The Riverlands",""
"Sack of Harrenhal","299","18","Robb Stark","Joffrey/Tommen Baratheon","Stark","","","","Lannister","","","","win","ambush","1","0","100","100","Roose Bolton, Vargo Hoat, Robett Glover","Amory Lorch","1","Harrenhal","The Riverlands",""
"Battle of the Crag","299","19","Robb Stark","Joffrey/Tommen Baratheon","Stark","","","","Lannister","","","","win","ambush","0","0","6000","","Robb Stark, Smalljon Umber, Black Walder Frey","Rolph Spicer","1","Crag","The Westerlands",""
"Battle of the Blackwater","299","20","Stannis Baratheon","Joffrey/Tommen Baratheon","Baratheon","","","","Lannister","","","","loss","pitched battle","1","1","21000","7250","Stannis Baratheon, Imry Florent, Guyard Morrigen, Rolland Storm, Salladhor Saan, Davos Seaworth","Tyrion Lannister, Jacelyn Bywater, Sandor Clegane, Tywin Lannister, Garlan Tyrell, Mace Tyrell, Randyll Tarly","1","King's Landing","The Crownlands",""
"Siege of Darry","299","21","Robb Stark","Joffrey/Tommen Baratheon","Darry","","","","Lannister","","","","win","siege","0","0","","","Helman Tallhart","","1","Darry","The Riverlands",""
"Battle of Duskendale","299","22","Robb Stark","Joffrey/Tommen Baratheon","Stark","","","","Lannister","","","","loss","pitched battle","1","0","3000","","Robertt Glover, Helman Tallhart","Randyll Tarly, Gregor Clegane","1","Duskendale","The Crownlands",""
"Battle of the Burning Septry","299","23","","","Brotherhood Without Banners","","","","Brave Companions","","","","win","pitched battle","0","0","","","","","1","","The Riverlands",""
"Battle of the Ruby Ford","299","24","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Stark","","","","win","pitched battle","0","0","","6000","Gregor Clegane","Roose Bolton, Wylis Manderly","","Ruby Ford","The Riverlands",""
"Retaking of Harrenhal","299","25","Joffrey/Tommen Baratheon","","Lannister","","","","Brave Companions","","","","win","pitched battle","1","0","","","Gregor Clegane","Vargo Hoat","1","Harrenhal","The Riverlands",""
"The Red Wedding","299","26","Joffrey/Tommen Baratheon","Robb Stark","Frey","Bolton","","","Stark","","","","win","ambush","1","1","3500","3500","Walder Frey, Roose Bolton, Walder Rivers","Robb Stark","1","The Twins","The Riverlands","This observation refers to the battle against the Stark men, not the attack on the wedding"
"Siege of Seagard","299","27","Robb Stark","Joffrey/Tommen Baratheon","Frey","","","","Mallister","","","","win","siege","0","1","","","Walder Frey","Jason Mallister","1","Seagard","The Riverlands",""
"Battle of Castle Black","300","28","Stannis Baratheon","Mance Rayder","Free Folk","","","","Night's Watch","Baratheon","","","loss","siege","1","1","100000","1240","Mance Rayder, Tormund Giantsbane, Harma Dogshead, Magnar Styr, Varamyr","Stannis Baratheon, Jon Snow, Donal Noye, Cotter Pyke","0","Castle Black","Beyond the Wall",""
"Fall of Moat Cailin","300","29","Joffrey/Tommen Baratheon","Balon/Euron Greyjoy","Bolton","","","","Greyjoy","","","","win","siege","0","0","","","Ramsey Bolton","","0","Moat Cailin","The North",""
"Retaking of Deepwood Motte","300","31","Stannis Baratheon","Balon/Euron Greyjoy","Baratheon","Karstark","Mormont","Glover","Greyjoy","","","","win","pitched battle","0","0","4500","200","Stannis Baratheon, Alysane Mormot","Asha Greyjoy","0","Deepwood Motte","The North",""
"Battle of the Shield Islands","300","32","Balon/Euron Greyjoy","Joffrey/Tommen Baratheon","Greyjoy","","","","Tyrell","","","","win","pitched battle","0","0","","","Euron Greyjoy, Victarion Greyjoy","","0","Shield Islands","The Reach",""
"Invasion of Ryamsport, Vinetown, and Starfish Harbor","300","33","Balon/Euron Greyjoy","Joffrey/Tommen Baratheon","Greyjoy","","","","Tyrell","","","","win","razing","0","0","","","Euron Greyjoy, Victarion Greyjoy","","0","Ryamsport, Vinetown, Starfish Harbor","The Reach",""
"Second Seige of Storm's End","300","34","Joffrey/Tommen Baratheon","Stannis Baratheon","Baratheon","","","","Baratheon","","","","win","siege","0","0","","200","Mace Tyrell, Mathis Rowan","Gilbert Farring","0","Storm's End","The Stormlands",""
"Siege of Dragonstone","300","35","Joffrey/Tommen Baratheon","Stannis Baratheon","Baratheon","","","","Baratheon","","","","win","siege","0","0","2000","","Loras Tyrell, Raxter Redwyne","Rolland Storm","0","Dragonstone","The Stormlands",""
"Siege of Riverrun","300","36","Joffrey/Tommen Baratheon","Robb Stark","Lannister","Frey","","","Tully","","","","win","siege","0","0","3000","","Daven Lannister, Ryman Fey, Jaime Lannister","Brynden Tully","0","Riverrun","The Riverlands",""
"Siege of Raventree","300","37","Joffrey/Tommen Baratheon","Robb Stark","Bracken","Lannister","","","Blackwood","","","","win","siege","0","1","1500","","Jonos Bracken, Jaime Lannister","Tytos Blackwood","0","Raventree","The Riverlands",""
"Siege of Winterfell","300","38","Stannis Baratheon","Joffrey/Tommen Baratheon","Baratheon","Karstark","Mormont","Glover","Bolton","Frey","","","","","0","0","5000","8000","Stannis Baratheon","Roose Bolton","0","Winterfell","The North",""
"Sack of Ashemark","299","39","Robb Stark","Lord Damon
Marbrand","Stark","Bolton","Karstark","","Marbrand","","","","win","","0","0","20000","","Robb Stark
King Robb Stark
Robb Stark","Damon Marbrand","1","Riverrun","The Riverlands",""
"Battle of the Fist of the First Men","300","40","","Jeor Mormont","White Walkers","","","","Night's Watch","","","","loss","","0","0","","","Jeor Mormont","","0","Fist of the First Men","Beyond the Wall",""
"Sack of Mole's Town","301","41"," Tormund","","Free Folk","","","","Night's Watch","","","","win","","0","0","","","Tormund","","0","Mole's Town","The North",""
"Massacre at Hardhome","302","43","Night King","Jon Snow","White Walkers","","","","Night's Watch","Free Folk","Baratheon","","win","","0","0","","","","","0","Hardhome","Beyond the Wall",""
"Battle at the Cave of the Three-Eyed Raven","303","44","Night King","Three-Eyed Raven","White Walkers","","","","Stark","Children of the Forest","","","win","","2","0","","","Night King","","0","Cave of the Three-Eyed Raven","Beyound the Wall",""
"Wight Hunt
Wight Hunt
Wight Hunt","304","45","Night King","Jon Snow","White Walkers","","","","Stark","Free Folk","Brotherhood Without Banners","Targaryen","win","","0","0","","","","","0","","Beyond the Wall",""
"Breaching of the Wall","304","46","Night King","Tormund","White Walkers","","","","Night's Watch","Free Folk","Brotherhood Without Banners","","win","","0","0","","","","","0","Eastwatch-by-the-Sea","The North",""
"Second Battle of Deepwood Motte","303","48","","Robett Glover","Greyjoy","","","","Bolton","Glover","","","loss","","0","0","","","","","1","Deepwood Motte","The North",""
"Capture of Riverrun
Capture of Riverrun
Capture of Riverrun
Capture of Riverrun","303","49","Brynden Tully","Lothar Frey","Tully","","","","Frey","","","","win","","0","0","","","","","1","Riverrun","The Riverlands",""
"Second Siege of Riverrun","303","50","Joffrey/Tommen Baratheon","Brynden Tully","Lannister","Frey","","","Tully","","","","win","siege","0","0","12000","400","","","1","Riverrun","The Riverlands",""
"Battle of the Bastards
","303","51","Jon Snow","Joffrey/Tommen Baratheon","Stark","Mormont","Arryn","Free Folk","Bolton","Karstark","Umber","","win","siege","2","1","4400","6000","","","1","Winterfell","The North",""
"Assault on the Dreadfort
Assault on the Dreadfort
","301","52","","","Greyjoy","","","","Bolton","","","","loss","","0","0","","","Yara Greyjoy","Ramsay Snow","1","Dreadfort","The North",""
"Sack of Highgarden
","304","54","Cercei Lannister","Daenerys Targaryen","Lannister","Tarly","","","Tyrell","","","","win","siege","1","0","","","Jaime Lannister","Olenna Tyrell","1","Highgarden","The Reach",""
"Assault on the Targaryen Fleet
","304","53","Cercei Lannister","Daenerys Targaryen","Greyjoy","","","","Greyjoy","Dorne","","","win","","0","2","1000","100","Euron Greyjoy","Yara Greyjoy","1","Blackwater Bay","The Crownlands",""
"Siege of Casterly Rock
","304","55","Daenerys Targaryen","Cercei Lannister","Targaryen","","","","Lannister","Greyjoy","","","win","siege","0","0","8000","1000","Tyrion Lannister","Jaime Lannister","1","Casterly Rock","The Westerlands",""
"Battle of the Goldroad","304","56","Daenerys Targaryen","Cercei Lannister","Targaryen","","","","Lannister","Tarly","","","win","","0","0","100000","10000","Daenerys
Deanerys Targaryen","Jaime Lannister","1","Goldroad","The Reach",""